epoch,train_loss,train_metric,valid_loss,valid_metric
0,0.361,0.3019,0.3608,0.3148
1,0.3505,0.2871,0.3385,0.2929
2,0.3654,0.3044,0.3235,0.274
3,0.3126,0.2538,0.32,0.2684
